ligand,auroc,aupr,activity,pearson,cell_type
CCL4,0.622594861872514,0.0809778876959488,0.0145922185705537,-0.00749992468591027,fibroblast
KITLG,0.611684402880792,0.0808099747884535,0.0144243056630584,0.0472070236638904,fibroblast
ST6GAL1,0.624888028951234,0.0807745326924973,0.0143888635671022,-0.040513338715035,fibroblast
INHBA,0.620624171414237,0.080490319872432,0.0141046507470369,-0.0237570826414231,fibroblast
NPPB,0.607581783654019,0.0803010479024416,0.0139153787770465,0.025665117306251,fibroblast
LGALS9,0.618599734852557,0.0800929549172255,0.0137072857918304,0.0578219935547353,fibroblast
CXCL2,0.615213730337884,0.0800853596017787,0.0136996904763835,0.0345799283757532,fibroblast
LEP,0.614156723637536,0.07983170253172,0.0134460334063248,-0.0127724126397175,fibroblast
IL17A,0.588698985990183,0.0796562249220545,0.0132705557966594,0.010344497428406,fibroblast
ARTN,0.616593213658678,0.0796386448568423,0.0132529757314471,0.0255720355605595,fibroblast
FGF7,0.610752803755063,0.0796026331332601,0.013216964007865,-0.0182234373177986,fibroblast
IL6,0.609910781468344,0.0793624016255198,0.0129767325001247,0.00330514175492564,fibroblast
TNFSF4,0.607707191228636,0.0792441888463895,0.0128585197209944,0.0076717060396935,fibroblast
ACE2,0.609265828227454,0.0791864893899933,0.0128008202645982,0.0518530342519049,fibroblast
TIMP1,0.607115984091152,0.0791823758438683,0.0127967067184731,0.0121802428405951,fibroblast
VEGFA,0.615518291590528,0.0791357412282268,0.0127500721028316,-0.0131396811341361,fibroblast
CXCL1,0.598391199971337,0.0790588843679618,0.0126732152425667,0.00833295588629748,fibroblast
HLA.DRB5,0.613081801569388,0.0788091390101582,0.0124234698847631,0.0431004256177565,fibroblast
EPHA4,0.606542692321474,0.0783586754255995,0.0119730063002044,0.0207217391592354,fibroblast
LTF,0.598624099752768,0.0779803272697801,0.0115946581443849,0.000886948682750202,fibroblast
IFITM1,0.592156651976065,0.0777518188129963,0.0113661496876012,0.0330306266070695,fibroblast
MSMB,0.5952739259737,0.0776262765200218,0.0112406073946267,0.0504526233651353,fibroblast
CD40,0.601741373750403,0.0770810106923584,0.0106953415669633,-0.0130512591998109,fibroblast
CSF3,0.605790246873771,0.0769903431048827,0.0106046739794876,-0.0291243854957304,fibroblast
IL17B,0.609015013078219,0.0769392803200037,0.0105536111946085,0.00973664131978821,fibroblast
IL20,0.577448135010211,0.0767500908053972,0.0103644216800021,0.0235419587778636,fibroblast
CCL15,0.607456376079402,0.0764937331130095,0.0101080639876144,-0.000276531130674195,fibroblast
CSF1,0.608280482998317,0.0762108289329085,0.00982515980751338,-0.023147366533031,fibroblast
CD40LG,0.59591887921459,0.076168486796865,0.00978281767146986,-0.0149728435279067,fibroblast
BST2,0.602189257945467,0.0757826078518813,0.00939693872648614,0.0165903746490776,fibroblast
CCL2,0.587928625174675,0.0757531445919058,0.00936747546651069,0.00284553684867901,fibroblast
TNFSF12,0.594646888100613,0.0756290062375665,0.00924333711217139,-0.015021636166225,fibroblast
IL33,0.589487262173494,0.0745421382825479,0.00815646915715275,-0.0434212804088794,fibroblast
CSHL1,0.584470959188791,0.0744025410509557,0.00801687192556056,0.0216528219979279,fibroblast
IL1A,0.59174459851661,0.0743676504334388,0.00798198130804367,-0.0307361292292506,fibroblast
